run,sample,barcode,excluded,barcode_kit
madagascar_tb_control_3,mada_114,5,1,EXP-NBD103
madagascar_tb_controls_4,mada_105,6,0,EXP-NBD103
madagascar_tb_controls_4,mada_107,7,0,EXP-NBD103
madagascar_tb_controls_4,mada_115,8,0,EXP-NBD103
madagascar_tb_controls_4,mada_122,9,0,EXP-NBD103
madagascar_tb_controls_4,mada_126,10,0,EXP-NBD103
madagascar_tb_controls_4,mada_128,11,0,EXP-NBD103
madagascar_tb_controls_4,mada_139,12,0,EXP-NBD103
madagascar_tb_controls_mdr_8,mada_146,8,1,EXP-NBD103
madagascar_tb_controls_mdr_8,mada_147,9,1,EXP-NBD103
madagascar_tb_mdr_1,mada_1-23,2,1,EXP-NBD103
madagascar_tb_mdr_1,mada_1-28,4,1,EXP-NBD103
madagascar_tb_mdr_1,mada_1-32,6,1,EXP-NBD103
madagascar_tb_mdr_2,mada_1-11,8,1,EXP-NBD103
madagascar_tb_mdr_2,mada_1-26,9,1,EXP-NBD103
madagascar_tb_mdr_3,mada_1-20,5,0,EXP-NBD103
madagascar_tb_mdr_3,mada_1-21,3,0,EXP-NBD103
madagascar_tb_mdr_3,mada_1-31,8,0,EXP-NBD103
madagascar_tb_mdr_3,mada_1-39,2,0,EXP-NBD103
madagascar_tb_mdr_3,mada_1-41,1,0,EXP-NBD103
madagascar_tb_mdr_3,mada_2-1,6,0,EXP-NBD103
madagascar_tb_mdr_3,mada_2-25,7,0,EXP-NBD103
madagascar_tb_mdr_3,mada_2-31,4,0,EXP-NBD103
madagascar_tb_mdr_4,mada_1-19,2,0,EXP-NBD103
madagascar_tb_mdr_4,mada_1-35,3,0,EXP-NBD103
madagascar_tb_mdr_4,mada_1-54,4,0,EXP-NBD103
madagascar_tb_mdr_4,mada_1-7,1,0,EXP-NBD103
madagascar_tb_mdr_4,mada_2-53,5,0,EXP-NBD103
madagascar_tb_mdr_5,mada_1-10,5,0,EXP-NBD103
madagascar_tb_mdr_5,mada_1-12,6,0,EXP-NBD103
madagascar_tb_mdr_5,mada_1-16,7,0,EXP-NBD103
madagascar_tb_mdr_5,mada_1-18,8,0,EXP-NBD103
madagascar_tb_mdr_5,mada_1-24,9,0,EXP-NBD103
madagascar_tb_mdr_5,mada_1-30,10,0,EXP-NBD103
madagascar_tb_mdr_5,mada_1-37,11,0,EXP-NBD103
madagascar_tb_mdr_5,mada_1-42,12,0,EXP-NBD103
madagascar_tb_mdr_6,mada_1-1,4,0,EXP-NBD103
madagascar_tb_mdr_6,mada_1-14,5,0,EXP-NBD103
madagascar_tb_mdr_6,mada_1-25,6,0,EXP-NBD103
madagascar_tb_mdr_6,mada_1-34,8,0,EXP-NBD103
madagascar_tb_mdr_6,mada_1-36,7,0,EXP-NBD103
madagascar_tb_mdr_6,mada_1-40,9,0,EXP-NBD103
madagascar_tb_mdr_6,mada_1-49,10,1,EXP-NBD103
madagascar_tb_mdr_6,mada_1-53,11,0,EXP-NBD103
madagascar_tb_mdr_control_7,mada_103,3,0,EXP-NBD103
madagascar_tb_mdr_control_7,mada_117,4,0,EXP-NBD103
madagascar_tb_mdr_control_7,mada_118,5,0,EXP-NBD103
madagascar_tb_mdr_control_7,mada_120,6,0,EXP-NBD103
madagascar_tb_mdr_control_7,mada_124,7,0,EXP-NBD103
madagascar_tb_mdr_control_7,mada_1-51,1,0,EXP-NBD103
madagascar_tb_mdr_control_7,mada_2-42,2,0,EXP-NBD103
madagscar_tb_aug_1,mada_104,1,0,EXP-NBD103
madagscar_tb_aug_1,mada_116,2,0,EXP-NBD103
madagscar_tb_aug_1,mada_119,3,1,EXP-NBD103
madagscar_tb_aug_1,mada_125,4,0,EXP-NBD103
madagscar_tb_aug_1,mada_130,5,0,EXP-NBD103
madagscar_tb_aug_1,mada_131,6,0,EXP-NBD103
madagscar_tb_aug_1,mada_135,7,0,EXP-NBD103
madagscar_tb_aug_1,mada_140,8,0,EXP-NBD103
madagscar_tb_aug_2,mada_151,5,0,EXP-NBD103
madagscar_tb_aug_2,mada_1-2,6,0,EXP-NBD103
madagscar_tb_aug_2,mada_1-27,8,1,EXP-NBD103
madagscar_tb_aug_2,mada_1-38,9,0,EXP-NBD103
madagscar_tb_aug_2,mada_1-44,10,0,EXP-NBD103
madagscar_tb_aug_2,mada_1-47,12,0,EXP-NBD103
madagscar_tb_aug_2,mada_1-9,7,1,EXP-NBD103
madagscar_tb_aug_3,mada_101,1,0,EXP-NBD103
madagscar_tb_aug_3,mada_102,2,0,EXP-NBD103
madagscar_tb_aug_3,mada_108,3,1,EXP-NBD103
madagscar_tb_aug_3,mada_110,4,0,EXP-NBD103
madagscar_tb_aug_3,mada_112,5,0,EXP-NBD103
madagscar_tb_aug_3,mada_123,6,0,EXP-NBD103
madagscar_tb_aug_3,mada_129,7,0,EXP-NBD103
madagscar_tb_aug_4,mada_132,5,0,EXP-NBD103
madagscar_tb_aug_4,mada_138,6,1,EXP-NBD103
madagscar_tb_aug_4,mada_149,7,1,EXP-NBD103
madagscar_tb_aug_4,mada_1-15,8,0,EXP-NBD103
madagscar_tb_aug_4,mada_1-50,10,0,EXP-NBD103
madagscar_tb_aug_4,mada_2-46,9,0,EXP-NBD103
madagscar_tb_aug_4,mada_2-47,11,0,EXP-NBD103
madagscar_tb_aug_5,mada_106,1,0,EXP-NBD103
madagscar_tb_aug_5,mada_1-4,2,1,EXP-NBD103
madagscar_tb_aug_5,mada_1-45,3,1,EXP-NBD103
madagscar_tb_aug_5,mada_1-46,4,0,EXP-NBD103
madagscar_tb_aug_5,mada_1-52,5,0,EXP-NBD103
madagscar_tb_aug_6,mada_1-29,10,1,EXP-NBD103
madagscar_tb_aug_6,mada_2-24,11,1,EXP-NBD103
md_tb_reseq_2019_1,mada_111,1,0,EXP-NBD104
md_tb_reseq_2019_1,mada_121,2,0,EXP-NBD104
md_tb_reseq_2019_1,mada_133,6,0,EXP-NBD104
md_tb_reseq_2019_1,mada_142,3,0,EXP-NBD104
md_tb_reseq_2019_1,mada_145,4,0,EXP-NBD104
md_tb_reseq_2019_1,mada_153,5,0,EXP-NBD104
md_tb_reseq_2019_2,mada_134,7,0,EXP-NBD104
md_tb_reseq_2019_2,mada_137,8,0,EXP-NBD104
md_tb_reseq_2019_2,mada_141,9,0,EXP-NBD104
md_tb_reseq_2019_2,mada_143,10,0,EXP-NBD104
md_tb_reseq_2019_2,mada_144,11,0,EXP-NBD104
md_tb_reseq_2019_2,mada_148,12,0,EXP-NBD104
md_tb_reseq_2019_3,mada_109,6,0,EXP-NBD104
md_tb_reseq_2019_3,mada_113,7,0,EXP-NBD104
md_tb_reseq_2019_3,mada_136,1,0,EXP-NBD104
md_tb_reseq_2019_3,mada_152,2,0,EXP-NBD104
md_tb_reseq_2019_3,mada_154,3,0,EXP-NBD104
md_tb_reseq_2019_3,mada_1-3,5,1,EXP-NBD104
md_tb_reseq_2019_3,mada_1-6,4,0,EXP-NBD104
md_tb_reseq_2019_4,mada_127,12,0,EXP-NBD104
md_tb_reseq_2019_4,mada_1-22,6,0,EXP-NBD104
md_tb_reseq_2019_4,mada_1-48,11,0,EXP-NBD104
md_tb_reseq_2019_4,mada_1-5,8,0,EXP-NBD104
md_tb_reseq_2019_4,mada_1-8,9,0,EXP-NBD104
md_tb_reseq_2019_4,mada_2-34,10,0,EXP-NBD104
md_tb_reseq_2019_4,mada_2-50,7,0,EXP-NBD104
md_tb_reseq_2019_5,mada_150,8,0,EXP-NBD104
md_tb_reseq_2019_5,mada_1-13,5,0,EXP-NBD104
md_tb_reseq_2019_5,mada_1-17,4,0,EXP-NBD104
md_tb_reseq_2019_5,mada_1-33,6,0,EXP-NBD104
md_tb_reseq_2019_5,mada_1-43,7,0,EXP-NBD104
